,sex,age,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,famsup,internet,romantic,famrel,freetime,goout,Dalc,health,absences,G1,G2,G3
0,1,18,0,0,4,4,2,2,0,0,0,0,4,3,4,2,3,6,5,6,6
1,1,17,0,1,1,1,1,2,0,1,1,0,5,3,3,2,3,4,5,5,6
2,1,15,1,1,1,1,1,2,3,0,1,0,4,3,2,5,3,10,7,8,10
3,1,15,0,1,4,2,1,3,0,1,1,1,3,2,2,2,5,2,15,14,15
4,1,16,0,1,3,3,1,2,0,1,0,0,4,3,2,3,5,4,6,10,10
5,0,16,1,1,4,3,1,2,0,1,1,0,5,4,2,3,5,10,15,15,15
6,0,16,1,1,2,2,1,2,0,0,1,0,4,4,4,2,3,0,12,12,11
7,1,17,0,0,4,4,2,2,0,1,0,0,4,1,4,2,1,6,6,5,6
8,0,15,1,0,3,2,1,2,0,1,1,0,4,2,2,2,1,0,16,18,19
9,0,15,0,1,3,4,1,2,0,1,1,0,5,5,1,2,5,0,14,15,15
10,1,15,0,1,4,4,1,2,0,1,1,0,3,3,3,3,2,0,10,8,9
11,1,15,0,1,2,1,3,3,0,1,1,0,5,2,2,2,4,4,10,12,12
12,0,15,1,1,4,4,1,1,0,1,1,0,4,3,3,4,5,2,14,14,14
13,0,15,0,1,4,3,2,2,0,1,1,0,5,4,3,3,3,2,10,10,11
14,0,15,0,0,2,2,1,3,0,1,1,1,4,5,2,2,3,0,14,16,16
15,1,16,0,1,4,4,1,1,0,1,1,0,4,4,4,3,2,4,14,14,14
16,1,16,0,1,4,4,1,3,0,1,1,0,3,2,3,3,2,6,13,14,14
17,1,16,0,1,3,3,3,2,0,1,0,0,5,3,2,2,4,4,8,10,10
18,0,17,0,1,3,2,1,1,3,1,1,0,5,5,5,6,5,16,6,5,5
19,0,16,1,1,4,3,1,1,0,0,1,0,3,1,3,4,5,4,8,10,10
20,0,15,0,1,4,3,1,2,0,0,1,0,4,4,1,2,1,0,13,14,15
21,0,15,0,1,4,4,1,1,0,1,1,0,5,4,2,2,5,0,12,15,15
22,0,16,1,1,4,2,1,2,0,0,1,0,4,5,1,4,5,2,15,15,16
23,0,16,1,1,2,2,2,2,0,1,1,0,5,4,4,6,5,0,13,13,12
24,1,15,0,1,2,4,1,3,0,1,1,0,4,3,2,2,5,2,10,9,8
25,1,16,0,1,2,2,1,1,2,1,1,0,1,2,2,4,5,14,6,9,8
26,0,15,0,1,2,2,1,1,0,1,1,0,4,2,2,3,5,2,12,12,11
27,0,15,0,1,4,2,1,1,0,0,1,0,2,2,4,6,1,4,15,16,15
28,0,16,1,0,3,4,1,2,0,1,1,0,5,3,3,2,5,4,11,11,11
29,0,16,0,1,4,4,1,2,0,1,1,1,4,4,5,10,5,16,10,12,11
30,0,15,0,1,4,4,1,2,0,1,1,0,5,4,2,7,5,0,9,11,12
31,0,15,0,1,4,4,2,2,0,1,1,0,4,3,1,2,5,0,17,16,17
32,0,15,0,1,4,3,1,2,0,1,1,1,4,5,2,2,5,0,17,16,16
33,0,15,1,1,3,3,1,2,0,0,1,0,5,3,2,2,2,0,8,10,12
34,0,16,0,1,3,2,1,1,0,1,1,0,5,4,3,2,5,0,12,14,15
35,1,15,0,1,2,3,2,1,0,1,0,0,3,5,1,2,5,0,8,7,6
36,0,15,1,1,4,3,1,3,0,1,1,0,5,4,3,2,4,2,15,16,18
37,0,16,0,0,4,4,2,3,0,1,1,1,2,4,3,2,5,7,15,16,15
38,1,15,0,1,3,4,1,3,0,1,1,0,4,3,2,2,5,2,12,12,11
39,1,15,0,1,2,2,1,1,0,1,0,0,4,3,1,2,2,8,14,13,13
40,1,16,1,1,2,2,2,2,1,1,1,1,3,3,3,3,3,25,7,10,11
41,0,15,1,1,4,4,1,1,0,1,1,1,5,4,3,6,5,8,12,12,12
42,0,15,0,1,4,4,1,2,0,1,1,0,4,3,3,2,5,2,19,18,18
43,0,15,0,1,2,2,1,1,0,1,1,0,5,4,1,2,1,0,8,8,11
44,1,16,1,1,2,2,2,2,1,0,1,0,4,3,3,4,5,14,10,10,9
45,1,15,1,0,4,3,1,2,0,1,1,1,5,2,2,2,5,8,8,8,6
46,1,16,1,0,3,3,1,2,0,1,1,0,2,3,5,5,3,12,11,12,11
47,0,16,0,1,4,3,1,4,0,0,1,0,4,2,2,2,2,4,19,19,20
48,0,15,0,1,4,2,1,2,0,1,0,0,4,3,3,4,5,2,15,15,14
49,1,15,0,1,4,4,1,2,1,1,1,0,4,4,4,2,3,2,7,7,7
50,1,16,1,1,2,2,3,2,0,1,1,0,4,3,3,5,4,2,12,13,13
51,1,15,1,1,4,2,1,2,0,1,1,0,4,3,3,2,5,2,11,13,13
52,0,15,1,0,4,2,2,1,1,0,0,0,5,5,5,7,5,6,11,11,10
53,1,15,0,1,4,4,1,1,0,1,1,0,3,3,4,5,5,0,8,10,11
54,1,15,1,0,3,3,1,1,0,0,1,0,5,3,4,8,1,6,10,13,13
55,1,16,0,0,2,1,1,2,0,0,1,1,5,3,4,2,2,8,8,9,10
56,1,15,0,0,4,3,1,2,0,1,1,0,4,3,2,2,1,0,14,15,15
57,0,15,0,1,4,4,1,2,0,1,0,0,3,2,2,2,5,4,14,15,15
58,0,15,1,1,1,2,1,2,0,1,1,0,4,3,2,2,5,2,9,10,9
59,1,16,0,1,4,2,1,2,0,1,1,0,4,2,3,2,5,2,15,16,16
60,1,16,0,1,4,4,1,2,0,1,0,0,2,4,4,5,4,6,10,11,11
61,1,16,0,1,1,1,4,1,0,1,1,1,5,5,5,10,5,6,10,8,11
62,1,16,1,1,1,2,1,2,0,0,1,0,4,4,3,2,1,4,8,10,9
63,1,16,0,1,4,3,1,3,0,1,1,0,3,4,4,6,4,2,10,9,9
64,1,15,1,1,4,3,1,2,0,0,1,1,4,4,4,6,2,0,10,10,10
65,1,16,1,1,4,3,3,2,0,1,1,0,5,4,3,3,1,2,16,15,15
66,0,15,0,0,4,4,1,4,0,1,1,1,1,3,3,10,3,4,13,13,12
67,1,16,0,1,3,1,1,4,0,1,1,0,4,3,3,3,5,4,7,7,6
68,1,15,1,1,2,2,2,2,0,1,1,0,4,1,3,4,4,2,8,9,8
69,1,15,1,1,3,1,2,4,0,1,1,0,4,4,2,5,3,12,16,16,16
70,0,16,0,1,3,1,2,4,0,1,1,0,4,3,2,2,5,0,13,15,15
71,0,15,0,1,4,2,1,4,0,0,1,0,3,3,3,2,3,0,10,10,10
72,1,15,0,1,1,1,1,2,2,1,1,1,3,3,4,6,5,2,8,6,5
73,0,16,0,1,3,1,1,1,0,0,0,0,5,3,2,4,5,2,12,12,14
74,1,16,0,1,3,3,1,2,0,1,1,0,4,3,3,6,5,54,11,12,11
75,0,15,0,1,4,3,1,2,0,1,1,0,4,3,3,5,5,6,9,9,10
76,0,15,0,1,4,0,2,4,0,0,1,0,3,4,3,2,1,8,11,11,10
77,1,16,0,1,2,2,1,4,0,0,1,1,5,2,3,4,3,0,11,11,11
78,0,17,0,1,2,1,2,1,3,1,1,0,4,5,1,2,3,2,8,8,10
79,1,16,0,1,3,4,1,2,0,1,1,0,2,4,3,3,3,12,5,5,5
80,0,15,0,1,2,3,1,1,0,1,1,1,3,2,2,4,3,2,10,12,12
81,0,15,0,1,2,3,1,3,0,0,1,0,5,3,2,3,5,4,11,10,11
82,1,15,1,1,3,2,1,2,0,1,1,0,4,4,4,2,5,10,7,6,6
83,0,15,1,1,2,2,2,2,0,0,1,0,5,3,3,4,4,4,15,15,15
84,1,15,0,1,1,1,1,2,0,1,1,0,4,3,2,5,4,2,9,10,10
85,1,15,0,1,4,4,2,2,2,0,1,1,4,4,4,5,5,6,7,9,8
86,1,16,1,1,2,2,1,2,0,1,0,0,4,3,4,3,2,4,8,7,6
87,1,15,0,1,4,2,1,3,0,1,1,0,5,3,3,4,1,4,13,14,14
88,0,16,0,1,2,2,2,2,1,0,1,0,4,4,2,2,3,12,11,10,10
89,0,16,1,0,4,4,1,2,0,1,0,0,4,1,3,8,5,18,8,6,7
90,1,16,0,1,3,3,1,3,0,1,1,1,4,3,3,4,4,0,7,7,8
91,1,15,0,1,4,3,1,1,0,0,1,0,4,5,5,4,1,4,16,17,18
92,1,16,1,1,3,1,1,2,0,1,0,0,3,3,3,5,2,4,7,6,6
93,1,16,0,1,4,2,2,2,0,1,1,0,5,3,3,2,1,0,11,10,10
94,0,15,1,1,2,2,1,4,0,1,1,0,4,3,4,2,4,6,11,13,14
95,1,15,0,1,1,1,2,4,1,1,1,0,3,1,2,2,1,2,7,10,10
96,0,16,0,1,4,3,2,1,0,1,1,0,3,3,3,2,4,2,11,15,15
97,1,16,0,1,2,1,1,2,0,1,0,1,4,3,5,2,5,2,8,9,10
98,1,16,0,1,4,4,1,1,0,0,1,0,5,3,4,3,1,6,11,14,14
99,1,16,0,1,4,3,1,3,0,1,1,0,5,3,5,2,3,0,7,9,8
100,0,16,0,1,4,4,1,1,0,1,1,0,4,5,5,10,4,14,7,7,5
101,0,16,0,1,4,4,1,3,0,1,1,1,4,4,3,2,4,0,16,17,17
102,0,15,0,1,4,4,1,1,0,1,1,0,5,3,3,2,5,4,10,13,14
103,1,15,0,1,3,2,2,2,0,1,1,0,4,3,5,2,2,26,7,6,6
104,0,15,0,0,3,4,1,2,0,1,1,0,5,4,4,2,1,0,16,18,18
105,1,15,0,0,3,3,1,4,0,0,0,0,4,3,3,2,4,10,10,11,11
106,1,15,0,1,2,2,1,4,0,1,1,0,5,1,2,2,3,8,7,8,8
107,0,16,0,1,3,3,1,3,0,1,1,0,5,3,3,2,5,2,16,18,18
108,0,15,0,1,4,4,4,4,0,1,1,1,1,3,5,8,1,6,10,13,13
109,1,16,1,1,4,4,1,3,0,1,1,1,5,4,5,2,4,4,14,15,16
110,0,15,1,0,4,4,1,1,0,0,1,0,5,5,3,2,4,6,18,19,19
111,1,16,0,1,3,3,1,3,1,1,1,0,4,1,2,2,2,0,7,10,10
112,1,16,0,1,2,2,1,2,1,0,1,0,3,1,2,2,5,6,10,13,13
113,0,15,1,1,4,2,1,1,0,0,1,0,3,5,2,2,3,10,18,19,19
114,0,15,0,1,2,1,1,2,0,0,1,1,5,4,2,2,5,8,9,9,9
115,0,16,0,1,4,4,1,2,0,1,1,0,5,4,4,3,5,2,15,15,16
116,0,15,0,1,4,4,2,2,0,1,0,0,4,4,3,2,2,2,11,13,14
117,0,16,0,1,3,3,2,1,0,0,1,0,5,4,2,2,5,0,13,14,13
118,0,17,0,1,1,3,3,2,1,1,1,0,5,2,4,5,5,20,9,7,8
119,0,15,0,1,3,4,1,1,0,0,1,0,3,4,3,3,4,6,14,13,13
120,1,15,0,1,1,2,1,2,0,0,1,0,3,2,3,3,1,2,16,15,15
121,0,15,0,1,2,2,1,4,0,1,1,0,5,5,4,3,5,6,16,14,15
122,1,16,1,1,2,4,2,2,0,1,1,1,4,2,2,3,5,2,13,13,13
123,0,16,0,1,4,4,1,1,0,1,1,0,3,4,4,5,5,18,14,11,13
124,1,16,0,1,2,2,1,2,0,0,1,1,5,4,4,2,5,0,8,7,8
125,0,15,0,1,3,4,1,1,0,0,1,0,5,5,5,5,5,0,13,13,12
126,1,15,1,0,3,4,1,2,0,0,1,1,5,3,2,2,1,0,7,10,11
127,1,19,0,1,0,1,1,2,3,1,0,0,3,4,2,2,5,2,7,8,9
128,0,18,0,1,2,2,1,1,2,1,1,0,3,3,3,3,4,0,7,4,0
129,0,16,0,1,4,4,1,1,0,0,1,0,3,5,5,7,4,8,18,18,18
130,1,15,0,1,3,4,2,3,2,1,1,1,4,2,2,4,5,0,12,0,0
131,1,15,0,1,1,1,3,1,0,1,1,1,4,3,3,3,4,0,8,0,0
132,1,17,1,1,2,2,1,1,0,1,1,1,3,4,4,4,5,12,10,13,12
133,1,16,0,0,3,4,1,1,0,0,1,0,3,2,1,5,5,16,12,11,11
134,0,15,0,1,3,4,4,2,0,1,0,1,5,3,3,2,5,0,9,0,0
135,1,15,0,1,4,4,1,3,0,1,1,1,4,3,3,2,5,0,11,0,0
136,0,17,0,1,3,4,3,2,0,0,0,0,5,4,5,6,5,0,10,0,0
137,1,16,0,0,3,3,2,1,2,1,1,1,4,3,2,2,5,0,4,0,0
138,0,16,1,1,1,1,1,2,1,0,0,1,4,4,4,4,5,0,14,12,12
139,1,15,0,1,4,4,2,1,0,0,1,0,4,3,2,2,5,0,16,16,15
140,0,15,0,1,4,3,2,4,0,1,1,0,2,2,2,2,3,0,7,9,0
141,0,16,1,1,2,2,2,1,2,1,1,0,2,3,3,4,2,8,9,9,9
142,1,15,0,1,4,4,1,3,0,1,1,0,4,2,2,2,5,2,9,11,11
143,1,16,1,1,1,1,1,1,0,0,1,0,3,4,4,6,1,2,14,14,13
144,0,17,0,1,2,1,1,1,3,1,1,0,5,4,5,3,5,0,5,0,0
145,1,15,0,1,1,1,1,2,0,1,1,0,4,4,2,3,5,0,8,11,11
146,1,15,0,1,3,2,1,2,3,1,1,0,3,3,2,2,3,0,6,7,0
147,1,15,0,1,1,2,1,2,0,1,1,0,4,3,2,2,5,2,10,11,11
148,0,16,0,1,4,4,1,1,0,1,1,1,3,3,2,3,5,0,7,6,0
149,0,15,1,0,2,1,4,1,3,0,1,0,4,5,5,7,5,0,8,9,10
150,0,18,1,1,1,1,1,1,3,0,1,1,2,3,5,7,4,0,6,5,0
151,0,16,1,1,2,1,1,1,1,0,0,1,4,4,4,8,5,6,12,13,14
152,1,15,0,1,3,3,2,3,2,1,1,1,4,2,1,5,3,8,10,10,10
153,0,19,0,1,3,2,1,1,3,1,1,1,4,5,4,2,4,0,5,0,0
154,1,17,0,1,4,4,1,1,0,1,0,1,4,2,1,2,4,0,11,11,12
155,0,15,0,1,2,3,1,2,0,0,0,0,4,4,4,2,1,2,11,8,8
156,0,17,1,1,1,2,1,1,0,0,0,0,2,2,2,6,5,8,16,12,13
157,1,18,0,1,1,1,3,1,3,1,0,0,5,2,5,6,4,6,9,8,10
158,0,16,0,1,2,2,3,1,0,0,0,0,4,2,2,3,3,2,17,15,15
159,0,16,0,1,3,3,1,2,1,1,1,1,4,5,5,8,5,4,10,12,12
160,0,17,1,1,2,1,2,1,2,0,1,1,3,3,2,4,5,0,7,6,0
161,0,15,0,1,3,2,2,2,2,1,1,1,4,4,4,5,3,6,5,9,7
162,0,16,1,1,1,2,2,1,1,0,0,0,4,4,4,6,5,0,7,0,0
163,0,17,0,1,1,3,1,1,0,0,1,0,5,3,3,5,2,2,10,10,10
164,0,17,1,1,1,1,4,2,3,0,0,1,5,3,5,6,5,0,5,8,7
165,0,16,0,1,3,2,2,1,1,1,0,0,4,5,2,2,2,16,12,11,12
166,0,16,0,1,2,2,1,2,0,0,1,0,4,3,5,6,4,4,10,10,10
167,1,16,0,1,4,2,1,2,0,0,1,1,4,2,3,2,3,0,14,15,16
168,1,16,0,1,2,2,1,2,0,1,1,0,5,1,5,2,4,0,6,7,0
169,1,16,0,1,4,4,1,2,0,1,1,1,4,4,2,2,3,0,14,14,14
170,0,16,0,1,3,4,3,1,2,1,1,0,3,4,5,6,2,0,6,5,0
171,0,16,0,1,1,0,2,2,0,1,1,1,4,3,2,2,3,2,13,15,16
172,0,17,1,1,4,4,1,2,0,1,1,0,4,4,4,4,5,0,13,11,10
173,1,16,0,1,1,3,1,2,3,0,1,1,4,3,5,2,3,0,8,7,0
174,1,16,1,1,3,3,2,2,0,1,1,0,4,4,5,2,4,4,10,11,9
175,0,17,1,1,4,3,2,2,0,0,1,0,4,4,4,8,4,4,10,9,9
176,1,16,0,1,2,2,2,2,0,0,1,0,3,4,4,5,5,2,13,13,11
177,0,17,0,1,3,3,1,2,0,0,1,0,4,3,4,5,4,4,6,5,6
178,0,16,0,1,4,2,1,1,0,1,1,1,4,3,3,7,3,10,10,8,9
179,0,17,0,1,4,3,1,2,0,1,1,1,5,2,3,2,2,4,10,10,11
180,0,16,0,1,4,3,1,2,0,1,1,0,3,4,3,5,3,10,9,8,8
181,0,16,0,1,3,3,1,2,0,0,1,1,4,2,3,3,3,2,12,13,12
182,1,17,0,1,2,4,1,2,0,1,0,0,5,4,2,5,5,0,16,17,17
183,1,17,1,1,3,3,1,2,0,1,1,1,5,3,3,5,1,56,9,9,8
184,1,16,0,1,3,2,1,2,0,1,1,0,1,2,2,3,1,14,12,13,12
185,0,17,0,1,3,3,1,2,0,1,1,1,4,3,4,5,4,12,12,12,11
186,0,16,0,1,1,2,1,1,0,1,1,1,3,3,3,3,3,2,11,12,11
187,0,16,1,1,2,1,1,2,0,0,1,1,4,2,3,3,5,0,15,15,15
188,1,17,0,0,3,3,1,2,0,1,1,1,3,3,3,4,3,6,8,7,9
189,0,17,0,1,1,2,1,2,0,0,0,0,3,1,3,6,3,4,8,9,10
190,1,16,0,1,2,3,1,2,0,0,1,0,4,3,3,2,2,10,11,12,13
191,1,17,0,1,1,1,1,2,0,0,1,0,5,3,3,2,3,0,8,8,9
192,0,17,0,1,1,2,2,2,0,0,1,0,4,4,4,9,5,12,7,8,8
193,0,16,0,1,3,3,1,1,0,1,1,0,4,3,2,7,5,8,8,9,10
194,0,16,0,1,2,3,2,1,0,0,1,0,5,3,3,2,3,0,13,14,14
195,1,17,1,1,2,4,1,2,0,0,1,1,4,3,2,2,5,0,14,15,15
196,0,17,0,1,4,4,1,1,0,0,1,0,5,2,3,3,5,4,17,15,16
