sex,age,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,famsup,internet,romantic,famrel,freetime,goout,Dalc,health,absences
1,18,0,0,4,4,2,2,0,0,0,0,4,3,4,1,3,6
1,17,0,1,1,1,1,2,0,1,1,0,5,3,3,1,3,4
1,15,1,1,1,1,1,2,3,0,1,0,4,3,2,2,3,10
1,15,0,1,4,2,1,3,0,1,1,1,3,2,2,1,5,2
1,16,0,1,3,3,1,2,0,1,0,0,4,3,2,1,5,4
0,16,1,1,4,3,1,2,0,1,1,0,5,4,2,1,5,10
0,16,1,1,2,2,1,2,0,0,1,0,4,4,4,1,3,0
1,17,0,0,4,4,2,2,0,1,0,0,4,1,4,1,1,6
0,15,1,0,3,2,1,2,0,1,1,0,4,2,2,1,1,0
0,15,0,1,3,4,1,2,0,1,1,0,5,5,1,1,5,0
1,15,0,1,4,4,1,2,0,1,1,0,3,3,3,1,2,0
1,15,0,1,2,1,3,3,0,1,1,0,5,2,2,1,4,4
0,15,1,1,4,4,1,1,0,1,1,0,4,3,3,1,5,2
0,15,0,1,4,3,2,2,0,1,1,0,5,4,3,1,3,2
0,15,0,0,2,2,1,3,0,1,1,1,4,5,2,1,3,0
1,16,0,1,4,4,1,1,0,1,1,0,4,4,4,1,2,4
1,16,0,1,4,4,1,3,0,1,1,0,3,2,3,1,2,6
1,16,0,1,3,3,3,2,0,1,0,0,5,3,2,1,4,4
0,17,0,1,3,2,1,1,3,1,1,0,5,5,5,2,5,16
0,16,1,1,4,3,1,1,0,0,1,0,3,1,3,1,5,4
0,15,0,1,4,3,1,2,0,0,1,0,4,4,1,1,1,0
0,15,0,1,4,4,1,1,0,1,1,0,5,4,2,1,5,0
0,16,1,1,4,2,1,2,0,0,1,0,4,5,1,1,5,2
0,16,1,1,2,2,2,2,0,1,1,0,5,4,4,2,5,0
1,15,0,1,2,4,1,3,0,1,1,0,4,3,2,1,5,2
1,16,0,1,2,2,1,1,2,1,1,0,1,2,2,1,5,14
0,15,0,1,2,2,1,1,0,1,1,0,4,2,2,1,5,2
0,15,0,1,4,2,1,1,0,0,1,0,2,2,4,2,1,4
0,16,1,0,3,4,1,2,0,1,1,0,5,3,3,1,5,4
0,16,0,1,4,4,1,2,0,1,1,1,4,4,5,5,5,16
0,15,0,1,4,4,1,2,0,1,1,0,5,4,2,3,5,0
0,15,0,1,4,4,2,2,0,1,1,0,4,3,1,1,5,0
0,15,0,1,4,3,1,2,0,1,1,1,4,5,2,1,5,0
0,15,1,1,3,3,1,2,0,0,1,0,5,3,2,1,2,0
0,16,0,1,3,2,1,1,0,1,1,0,5,4,3,1,5,0
1,15,0,1,2,3,2,1,0,1,0,0,3,5,1,1,5,0
0,15,1,1,4,3,1,3,0,1,1,0,5,4,3,1,4,2
0,16,0,0,4,4,2,3,0,1,1,1,2,4,3,1,5,7
1,15,0,1,3,4,1,3,0,1,1,0,4,3,2,1,5,2
1,15,0,1,2,2,1,1,0,1,0,0,4,3,1,1,2,8
1,16,1,1,2,2,2,2,1,1,1,1,3,3,3,1,3,25
0,15,1,1,4,4,1,1,0,1,1,1,5,4,3,2,5,8
0,15,0,1,4,4,1,2,0,1,1,0,4,3,3,1,5,2
0,15,0,1,2,2,1,1,0,1,1,0,5,4,1,1,1,0
1,16,1,1,2,2,2,2,1,0,1,0,4,3,3,2,5,14
1,15,1,0,4,3,1,2,0,1,1,1,5,2,2,1,5,8
1,16,1,0,3,3,1,2,0,1,1,0,2,3,5,1,3,12
0,16,0,1,4,3,1,4,0,0,1,0,4,2,2,1,2,4
0,15,0,1,4,2,1,2,0,1,0,0,4,3,3,2,5,2
1,15,0,1,4,4,1,2,1,1,1,0,4,4,4,1,3,2
1,16,1,1,2,2,3,2,0,1,1,0,4,3,3,2,4,2
1,15,1,1,4,2,1,2,0,1,1,0,4,3,3,1,5,2
0,15,1,0,4,2,2,1,1,0,0,0,5,5,5,3,5,6
1,15,0,1,4,4,1,1,0,1,1,0,3,3,4,2,5,0
1,15,1,0,3,3,1,1,0,0,1,0,5,3,4,4,1,6
1,16,0,0,2,1,1,2,0,0,1,1,5,3,4,1,2,8
1,15,0,0,4,3,1,2,0,1,1,0,4,3,2,1,1,0
0,15,0,1,4,4,1,2,0,1,0,0,3,2,2,1,5,4
0,15,1,1,1,2,1,2,0,1,1,0,4,3,2,1,5,2
1,16,0,1,4,2,1,2,0,1,1,0,4,2,3,1,5,2
1,16,0,1,4,4,1,2,0,1,0,0,2,4,4,2,4,6
1,16,0,1,1,1,4,1,0,1,1,1,5,5,5,5,5,6
1,16,1,1,1,2,1,2,0,0,1,0,4,4,3,1,1,4
1,16,0,1,4,3,1,3,0,1,1,0,3,4,4,2,4,2
1,15,1,1,4,3,1,2,0,0,1,1,4,4,4,2,2,0
1,16,1,1,4,3,3,2,0,1,1,0,5,4,3,1,1,2
0,15,0,0,4,4,1,4,0,1,1,1,1,3,3,5,3,4
1,16,0,1,3,1,1,4,0,1,1,0,4,3,3,1,5,4
1,15,1,1,2,2,2,2,0,1,1,0,4,1,3,1,4,2
1,15,1,1,3,1,2,4,0,1,1,0,4,4,2,2,3,12
0,16,0,1,3,1,2,4,0,1,1,0,4,3,2,1,5,0
0,15,0,1,4,2,1,4,0,0,1,0,3,3,3,1,3,0
1,15,0,1,1,1,1,2,2,1,1,1,3,3,4,2,5,2
0,16,0,1,3,1,1,1,0,0,0,0,5,3,2,2,5,2
1,16,0,1,3,3,1,2,0,1,1,0,4,3,3,2,5,54
0,15,0,1,4,3,1,2,0,1,1,0,4,3,3,2,5,6
0,15,0,1,4,0,2,4,0,0,1,0,3,4,3,1,1,8
1,16,0,1,2,2,1,4,0,0,1,1,5,2,3,1,3,0
0,17,0,1,2,1,2,1,3,1,1,0,4,5,1,1,3,2
1,16,0,1,3,4,1,2,0,1,1,0,2,4,3,1,3,12
0,15,0,1,2,3,1,1,0,1,1,1,3,2,2,1,3,2
0,15,0,1,2,3,1,3,0,0,1,0,5,3,2,1,5,4
1,15,1,1,3,2,1,2,0,1,1,0,4,4,4,1,5,10
0,15,1,1,2,2,2,2,0,0,1,0,5,3,3,1,4,4
1,15,0,1,1,1,1,2,0,1,1,0,4,3,2,2,4,2
1,15,0,1,4,4,2,2,2,0,1,1,4,4,4,2,5,6
1,16,1,1,2,2,1,2,0,1,0,0,4,3,4,1,2,4
1,15,0,1,4,2,1,3,0,1,1,0,5,3,3,1,1,4
0,16,0,1,2,2,2,2,1,0,1,0,4,4,2,1,3,12
0,16,1,0,4,4,1,2,0,1,0,0,4,1,3,3,5,18
1,16,0,1,3,3,1,3,0,1,1,1,4,3,3,1,4,0
1,15,0,1,4,3,1,1,0,0,1,0,4,5,5,1,1,4
1,16,1,1,3,1,1,2,0,1,0,0,3,3,3,2,2,4
1,16,0,1,4,2,2,2,0,1,1,0,5,3,3,1,1,0
0,15,1,1,2,2,1,4,0,1,1,0,4,3,4,1,4,6
1,15,0,1,1,1,2,4,1,1,1,0,3,1,2,1,1,2
0,16,0,1,4,3,2,1,0,1,1,0,3,3,3,1,4,2
1,16,0,1,2,1,1,2,0,1,0,1,4,3,5,1,5,2
1,16,0,1,4,4,1,1,0,0,1,0,5,3,4,1,1,6
1,16,0,1,4,3,1,3,0,1,1,0,5,3,5,1,3,0
0,16,0,1,4,4,1,1,0,1,1,0,4,5,5,5,4,14
0,16,0,1,4,4,1,3,0,1,1,1,4,4,3,1,4,0
0,15,0,1,4,4,1,1,0,1,1,0,5,3,3,1,5,4
1,15,0,1,3,2,2,2,0,1,1,0,4,3,5,1,2,26
0,15,0,0,3,4,1,2,0,1,1,0,5,4,4,1,1,0
1,15,0,0,3,3,1,4,0,0,0,0,4,3,3,1,4,10
1,15,0,1,2,2,1,4,0,1,1,0,5,1,2,1,3,8
0,16,0,1,3,3,1,3,0,1,1,0,5,3,3,1,5,2
0,15,0,1,4,4,4,4,0,1,1,1,1,3,5,3,1,6
1,16,1,1,4,4,1,3,0,1,1,1,5,4,5,1,4,4
0,15,1,0,4,4,1,1,0,0,1,0,5,5,3,1,4,6
1,16,0,1,3,3,1,3,1,1,1,0,4,1,2,1,2,0
1,16,0,1,2,2,1,2,1,0,1,0,3,1,2,1,5,6
0,15,1,1,4,2,1,1,0,0,1,0,3,5,2,1,3,10
0,15,0,1,2,1,1,2,0,0,1,1,5,4,2,1,5,8
0,16,0,1,4,4,1,2,0,1,1,0,5,4,4,1,5,2
0,15,0,1,4,4,2,2,0,1,0,0,4,4,3,1,2,2
0,16,0,1,3,3,2,1,0,0,1,0,5,4,2,1,5,0
0,17,0,1,1,3,3,2,1,1,1,0,5,2,4,1,5,20
0,15,0,1,3,4,1,1,0,0,1,0,3,4,3,1,4,6
1,15,0,1,1,2,1,2,0,0,1,0,3,2,3,1,1,2
0,15,0,1,2,2,1,4,0,1,1,0,5,5,4,1,5,6
1,16,1,1,2,4,2,2,0,1,1,1,4,2,2,1,5,2
0,16,0,1,4,4,1,1,0,1,1,0,3,4,4,1,5,18
1,16,0,1,2,2,1,2,0,0,1,1,5,4,4,1,5,0
0,15,0,1,3,4,1,1,0,0,1,0,5,5,5,3,5,0
1,15,1,0,3,4,1,2,0,0,1,1,5,3,2,1,1,0
1,19,0,1,0,1,1,2,3,1,0,0,3,4,2,1,5,2
0,18,0,1,2,2,1,1,2,1,1,0,3,3,3,1,4,0
0,16,0,1,4,4,1,1,0,0,1,0,3,5,5,2,4,8
1,15,0,1,3,4,2,3,2,1,1,1,4,2,2,2,5,0
1,15,0,1,1,1,3,1,0,1,1,1,4,3,3,1,4,0
1,17,1,1,2,2,1,1,0,1,1,1,3,4,4,1,5,12
1,16,0,0,3,4,1,1,0,0,1,0,3,2,1,1,5,16
0,15,0,1,3,4,4,2,0,1,0,1,5,3,3,1,5,0
1,15,0,1,4,4,1,3,0,1,1,1,4,3,3,1,5,0
0,17,0,1,3,4,3,2,0,0,0,0,5,4,5,2,5,0
1,16,0,0,3,3,2,1,2,1,1,1,4,3,2,1,5,0
0,16,1,1,1,1,1,2,1,0,0,1,4,4,4,1,5,0
1,15,0,1,4,4,2,1,0,0,1,0,4,3,2,1,5,0
0,15,0,1,4,3,2,4,0,1,1,0,2,2,2,1,3,0
0,16,1,1,2,2,2,1,2,1,1,0,2,3,3,2,2,8
1,15,0,1,4,4,1,3,0,1,1,0,4,2,2,1,5,2
1,16,1,1,1,1,1,1,0,0,1,0,3,4,4,3,1,2
0,17,0,1,2,1,1,1,3,1,1,0,5,4,5,1,5,0
1,15,0,1,1,1,1,2,0,1,1,0,4,4,2,1,5,0
1,15,0,1,3,2,1,2,3,1,1,0,3,3,2,1,3,0
1,15,0,1,1,2,1,2,0,1,1,0,4,3,2,1,5,2
0,16,0,1,4,4,1,1,0,1,1,1,3,3,2,2,5,0
0,15,1,0,2,1,4,1,3,0,1,0,4,5,5,2,5,0
0,18,1,1,1,1,1,1,3,0,1,1,2,3,5,2,4,0
0,16,1,1,2,1,1,1,1,0,0,1,4,4,4,3,5,6
1,15,0,1,3,3,2,3,2,1,1,1,4,2,1,2,3,8
0,19,0,1,3,2,1,1,3,1,1,1,4,5,4,1,4,0
1,17,0,1,4,4,1,1,0,1,0,1,4,2,1,1,4,0
0,15,0,1,2,3,1,2,0,0,0,0,4,4,4,1,1,2
0,17,1,1,1,2,1,1,0,0,0,0,2,2,2,3,5,8
1,18,0,1,1,1,3,1,3,1,0,0,5,2,5,1,4,6
0,16,0,1,2,2,3,1,0,0,0,0,4,2,2,1,3,2
0,16,0,1,3,3,1,2,1,1,1,1,4,5,5,4,5,4
0,17,1,1,2,1,2,1,2,0,1,1,3,3,2,2,5,0
0,15,0,1,3,2,2,2,2,1,1,1,4,4,4,1,3,6
0,16,1,1,1,2,2,1,1,0,0,0,4,4,4,2,5,0
0,17,0,1,1,3,1,1,0,0,1,0,5,3,3,1,2,2
0,17,1,1,1,1,4,2,3,0,0,1,5,3,5,1,5,0
0,16,0,1,3,2,2,1,1,1,0,0,4,5,2,1,2,16
0,16,0,1,2,2,1,2,0,0,1,0,4,3,5,2,4,4
1,16,0,1,4,2,1,2,0,0,1,1,4,2,3,1,3,0
1,16,0,1,2,2,1,2,0,1,1,0,5,1,5,1,4,0
1,16,0,1,4,4,1,2,0,1,1,1,4,4,2,1,3,0
0,16,0,1,3,4,3,1,2,1,1,0,3,4,5,2,2,0
0,16,0,1,1,0,2,2,0,1,1,1,4,3,2,1,3,2
0,17,1,1,4,4,1,2,0,1,1,0,4,4,4,1,5,0
1,16,0,1,1,3,1,2,3,0,1,1,4,3,5,1,3,0
1,16,1,1,3,3,2,2,0,1,1,0,4,4,5,1,4,4
0,17,1,1,4,3,2,2,0,0,1,0,4,4,4,4,4,4
1,16,0,1,2,2,2,2,0,0,1,0,3,4,4,1,5,2
0,17,0,1,3,3,1,2,0,0,1,0,4,3,4,1,4,4
0,16,0,1,4,2,1,1,0,1,1,1,4,3,3,3,3,10
0,17,0,1,4,3,1,2,0,1,1,1,5,2,3,1,2,4
0,16,0,1,4,3,1,2,0,1,1,0,3,4,3,2,3,10
0,16,0,1,3,3,1,2,0,0,1,1,4,2,3,1,3,2
1,17,0,1,2,4,1,2,0,1,0,0,5,4,2,2,5,0
1,17,1,1,3,3,1,2,0,1,1,1,5,3,3,2,1,56
1,16,0,1,3,2,1,2,0,1,1,0,1,2,2,1,1,14
0,17,0,1,3,3,1,2,0,1,1,1,4,3,4,2,4,12
0,16,0,1,1,2,1,1,0,1,1,1,3,3,3,1,3,2
0,16,1,1,2,1,1,2,0,0,1,1,4,2,3,1,5,0
1,17,0,0,3,3,1,2,0,1,1,1,3,3,3,1,3,6
0,17,0,1,1,2,1,2,0,0,0,0,3,1,3,1,3,4
1,16,0,1,2,3,1,2,0,0,1,0,4,3,3,1,2,10
1,17,0,1,1,1,1,2,0,0,1,0,5,3,3,1,3,0
0,17,0,1,1,2,2,2,0,0,1,0,4,4,4,4,5,12
0,16,0,1,3,3,1,1,0,1,1,0,4,3,2,3,5,8
0,16,0,1,2,3,2,1,0,0,1,0,5,3,3,1,3,0
1,17,1,1,2,4,1,2,0,0,1,1,4,3,2,1,5,0
