sex,age,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,famsup,internet,romantic,famrel,freetime,goout,Dalc,health,absences
0,17,0,1,4,4,1,1,0,0,1,0,5,2,3,1,5,4
0,16,1,1,3,3,3,1,0,1,1,0,3,3,4,3,3,8
1,17,0,1,4,4,2,1,1,1,1,0,4,2,4,2,2,24
1,16,1,1,4,4,1,2,0,1,1,0,4,5,2,1,3,0
1,16,0,1,4,3,1,2,0,1,1,0,4,3,5,1,2,2
1,16,0,1,2,3,1,2,0,1,0,0,4,4,3,1,4,6
1,17,0,1,1,1,1,2,0,1,0,0,4,4,4,1,1,4
1,17,0,1,2,2,1,1,0,1,1,0,5,3,2,1,3,18
1,16,0,1,2,2,2,4,0,1,1,0,5,3,5,1,5,6
1,17,0,1,3,4,1,3,1,1,1,1,4,4,3,3,5,28
1,16,0,0,3,1,1,2,3,1,1,0,2,3,3,2,4,5
1,16,0,1,4,3,1,2,0,0,1,1,1,3,2,1,1,10
1,16,0,1,1,1,2,1,0,1,0,0,4,3,2,1,5,6
1,17,0,1,4,3,2,3,0,1,1,1,4,4,2,1,4,6
1,19,0,1,3,3,1,4,0,1,1,0,4,3,3,1,3,10
0,17,1,1,4,4,1,2,0,1,1,1,5,3,5,4,3,13
1,16,0,0,2,2,1,2,0,1,1,0,3,3,4,1,4,0
0,18,0,1,2,2,1,2,1,1,1,0,4,4,4,2,5,15
1,17,1,1,4,4,1,1,0,1,0,0,5,2,1,1,3,12
1,17,1,1,3,2,2,2,0,0,1,0,4,4,4,1,1,2
1,17,0,1,4,3,1,2,2,0,1,1,3,4,5,2,1,22
0,18,1,1,3,3,1,2,1,1,1,0,3,2,4,2,4,13
1,17,0,1,2,3,2,1,0,1,0,0,3,3,3,1,3,3
1,17,0,1,2,2,1,3,0,1,1,0,4,3,3,1,4,4
1,17,0,1,2,1,2,2,0,1,1,0,4,2,5,1,5,2
1,17,0,1,1,1,1,3,1,1,0,1,4,3,4,1,5,0
1,16,0,1,2,3,1,2,0,0,1,0,2,3,1,1,3,2
0,18,0,1,2,2,2,2,0,1,1,0,3,3,3,5,4,0
1,16,0,1,4,4,1,3,0,1,1,0,5,3,2,1,5,0
1,18,0,1,3,1,1,2,1,0,1,1,5,3,3,1,4,16
1,17,0,1,3,2,1,2,0,0,1,0,5,3,4,1,3,10
0,17,1,1,2,3,1,2,0,1,1,0,5,3,3,1,3,2
0,18,1,1,2,1,4,2,0,1,1,1,4,3,2,4,3,14
1,17,0,0,2,1,2,3,0,0,1,1,3,2,3,1,3,10
1,17,1,1,4,3,1,2,0,0,1,1,3,2,3,1,3,14
0,17,0,1,2,2,2,2,0,1,1,0,4,5,2,1,1,4
0,17,0,1,4,4,1,2,0,1,1,1,4,5,5,1,2,14
0,16,0,1,4,4,1,2,0,1,1,0,4,2,4,2,1,2
0,16,1,1,1,1,2,2,0,1,1,0,3,4,2,1,5,18
0,16,0,1,3,2,2,3,0,0,1,1,5,3,3,1,2,10
0,17,1,1,2,2,1,2,0,0,1,1,4,4,2,5,4,4
1,16,0,1,2,1,1,1,0,0,1,1,4,5,2,1,5,20
1,17,0,1,2,1,3,2,0,0,0,0,2,1,1,1,3,2
0,18,0,1,2,2,1,2,1,0,1,0,5,5,4,3,2,0
0,17,1,1,4,3,2,2,0,0,1,1,2,5,5,1,5,14
0,17,1,0,4,4,2,2,0,1,1,0,3,3,3,2,4,2
0,16,1,1,4,3,1,1,0,0,1,0,5,4,5,1,3,0
0,16,0,1,4,4,1,1,0,0,1,0,5,3,2,1,5,0
1,18,0,1,2,1,2,3,0,1,1,1,4,4,4,1,3,0
0,16,0,1,2,1,3,1,0,0,1,0,4,3,3,1,4,6
0,17,0,1,2,3,2,1,0,0,1,0,5,2,2,1,2,4
0,22,0,1,3,1,1,1,3,0,1,1,5,4,5,5,1,16
0,18,1,1,3,3,1,2,1,1,1,1,4,3,3,1,5,8
0,16,0,1,0,2,1,1,0,0,1,0,4,3,2,2,5,0
0,18,0,1,3,2,2,1,1,0,1,0,4,4,5,2,5,0
0,16,0,1,3,3,3,2,0,1,1,0,5,3,3,1,2,6
0,18,0,1,2,1,1,1,1,0,1,0,3,2,5,2,5,4
0,16,0,1,2,1,2,1,0,0,0,0,3,3,2,1,3,0
0,17,0,1,2,1,1,1,0,0,1,0,4,4,2,2,5,0
0,17,1,1,1,1,2,1,1,1,1,0,4,4,4,1,5,2
1,17,1,1,4,2,1,4,0,1,1,0,4,2,3,1,4,6
0,19,1,0,4,3,1,2,0,1,1,0,4,3,1,1,1,12
0,18,0,1,2,1,1,2,0,0,1,0,5,2,4,1,4,8
1,17,1,1,2,2,1,4,0,0,1,1,3,4,1,1,2,0
1,18,0,1,4,3,1,2,0,1,1,1,3,1,2,1,2,21
0,18,0,1,4,3,1,2,0,1,1,0,4,3,2,1,3,2
0,18,0,1,3,2,1,3,0,0,0,0,5,3,2,1,3,1
1,17,0,1,3,3,1,3,0,0,0,0,3,2,3,1,4,4
1,18,0,1,2,2,1,3,0,1,1,1,4,3,3,1,3,0
0,18,1,0,3,4,2,2,0,1,1,0,4,2,5,3,1,13
0,17,0,1,3,1,1,2,0,0,1,1,5,4,4,3,5,2
1,18,0,1,4,4,2,2,0,0,1,0,4,3,4,2,4,8
0,18,0,1,4,2,1,2,0,1,1,1,5,4,5,1,5,10
1,18,0,1,2,1,2,2,0,1,1,1,4,3,5,1,3,0
1,19,0,1,3,3,1,2,2,1,1,0,4,3,5,3,5,15
1,18,0,1,2,3,1,4,0,1,1,1,4,5,5,1,2,4
1,18,1,1,1,1,2,2,0,1,0,0,4,4,3,1,3,2
0,17,0,1,1,2,1,2,0,1,0,1,3,5,2,2,1,2
1,17,0,1,2,4,2,2,0,1,1,1,4,3,3,1,1,2
1,17,1,1,2,2,2,2,0,1,1,1,4,4,4,2,5,6
1,18,0,0,3,2,2,2,0,0,1,1,4,1,1,1,5,75
0,18,0,1,4,4,2,1,0,0,1,0,3,2,4,1,3,22
1,18,0,1,4,4,1,2,1,1,1,1,2,4,4,1,4,15
0,18,1,1,4,3,2,1,0,0,1,0,4,2,3,1,1,8
0,17,1,0,4,1,2,1,0,0,1,1,4,5,4,2,5,30
0,17,1,0,3,2,1,1,1,0,1,0,4,4,4,3,3,19
1,18,1,1,1,1,2,4,0,1,0,0,5,2,2,1,3,1
1,18,0,1,1,1,2,2,0,0,1,0,5,4,4,1,4,4
1,17,0,1,2,2,1,2,0,1,1,0,5,4,5,1,5,4
0,17,0,1,1,1,1,2,0,0,1,0,4,3,3,1,4,2
1,18,0,1,2,2,1,3,0,1,1,0,4,3,3,1,2,5
1,17,0,1,1,1,1,3,0,1,1,0,4,3,3,1,3,6
0,18,0,1,2,1,1,3,0,0,1,0,4,2,4,1,2,6
0,18,1,0,4,4,1,2,0,1,1,0,5,4,3,1,2,9
0,18,0,1,4,2,1,2,0,1,1,1,4,3,2,1,5,11
1,17,0,1,4,3,1,3,0,1,1,0,4,2,2,1,3,0
1,18,1,1,2,1,1,2,1,0,1,1,5,4,3,1,5,12
1,17,1,1,3,1,2,4,0,1,0,0,3,1,2,1,3,6
0,18,1,1,3,2,2,3,0,1,1,0,5,4,2,1,4,8
0,17,0,1,3,3,1,1,0,1,1,0,4,4,3,1,5,4
1,19,0,1,4,4,2,2,0,1,1,0,2,3,4,2,2,0
1,18,1,1,4,3,2,2,0,1,1,1,4,4,5,1,2,10
1,18,0,1,4,3,1,4,0,1,1,0,4,3,3,1,3,0
0,18,1,1,4,4,1,1,0,1,1,1,1,4,2,2,1,5
1,18,1,0,4,4,1,2,0,1,1,1,4,2,4,1,4,14
0,17,1,1,4,4,2,1,0,0,1,0,4,1,1,2,5,0
1,17,0,1,4,2,2,3,0,1,1,0,4,3,3,1,3,0
1,17,0,1,3,2,1,4,0,1,1,0,5,2,2,1,5,0
0,19,0,1,3,3,1,2,1,1,1,1,4,4,4,1,3,20
1,18,0,1,2,4,1,2,1,1,1,0,4,4,3,1,3,8
0,20,0,0,3,2,1,1,0,0,0,0,5,5,3,1,5,0
0,19,0,1,4,4,2,1,1,1,1,1,4,3,4,1,4,38
0,19,0,1,3,3,1,2,1,0,0,1,4,5,3,1,5,0
1,19,1,1,1,1,1,2,1,1,1,0,4,4,3,1,3,18
1,19,1,1,1,2,1,2,1,0,0,1,4,2,4,2,3,0
1,19,0,1,2,1,3,2,0,1,1,1,3,4,1,1,2,20
0,19,0,1,1,2,1,2,1,0,1,0,4,5,2,2,4,3
1,19,1,1,3,2,2,2,1,1,1,1,4,2,2,1,1,22
1,19,0,1,1,1,1,3,2,0,1,1,4,1,2,1,3,14
1,19,0,1,2,3,1,3,1,0,1,1,4,1,2,1,3,40
1,18,0,1,2,1,2,2,0,1,1,0,5,3,3,1,1,0
1,18,0,1,4,3,1,3,0,1,1,1,4,3,4,1,5,9
1,17,0,1,3,4,1,3,0,1,1,0,4,3,4,2,5,0
1,18,0,1,4,4,1,2,0,1,1,0,4,4,4,3,5,2
1,17,0,0,4,3,1,2,0,1,1,1,5,2,2,1,5,23
1,17,0,1,2,2,1,2,0,1,0,1,4,2,2,1,3,12
1,17,1,1,2,2,1,3,0,1,1,0,3,3,2,2,3,3
1,17,0,1,3,1,1,3,0,1,1,0,3,4,3,2,5,1
1,17,1,1,0,2,2,3,0,0,1,0,3,3,3,2,2,0
0,18,0,1,4,4,1,3,0,0,1,0,4,3,3,2,3,3
0,17,0,1,3,3,1,1,0,0,1,0,4,3,5,3,5,3
0,17,0,1,2,2,4,1,0,1,1,0,4,4,5,5,4,8
1,17,0,1,4,4,1,3,0,1,1,0,5,4,4,1,4,7
1,17,0,1,4,4,2,3,0,1,1,1,4,3,3,1,4,4
0,18,1,1,2,2,1,4,0,1,1,0,4,5,5,2,5,2
1,17,0,1,2,4,1,3,0,1,1,1,4,4,3,1,5,7
1,18,0,1,3,3,1,2,0,0,1,0,5,3,4,1,4,0
1,18,1,1,2,2,1,2,0,0,1,1,4,3,3,1,2,0
1,18,0,1,2,2,2,4,0,0,0,0,4,4,4,1,4,0
1,17,0,1,3,4,1,3,0,0,1,0,4,4,5,1,5,16
1,19,0,0,3,1,1,3,1,0,0,0,5,4,3,1,5,12
1,17,0,1,3,2,1,2,0,1,1,1,4,3,2,2,2,0
1,18,1,1,3,3,1,4,0,1,1,0,5,3,3,1,1,7
1,17,0,0,3,2,1,2,0,1,1,0,4,3,3,2,2,4
1,19,0,1,2,1,1,3,1,0,1,1,4,3,4,1,3,4
0,18,0,1,4,4,1,2,1,1,1,0,4,3,3,2,2,0
0,18,1,1,3,4,1,2,0,0,1,1,4,3,3,1,5,11
1,17,0,0,2,2,1,2,1,1,1,1,3,3,1,1,4,0
1,18,0,1,2,3,1,3,0,1,1,0,4,3,3,1,3,4
1,18,0,1,3,2,1,3,0,0,1,1,5,4,3,2,1,7
0,18,0,1,4,3,1,3,0,0,1,1,5,3,2,1,4,9
0,18,0,1,4,3,1,3,0,1,1,1,5,4,5,2,5,0
1,17,0,1,4,3,1,3,0,1,1,1,4,4,3,1,4,0
0,18,0,1,3,2,2,1,1,1,1,0,2,5,5,5,5,10
0,19,0,1,1,1,3,2,3,0,1,0,5,4,4,3,2,8
0,17,0,1,3,3,2,2,0,1,1,0,4,5,4,2,3,2
0,18,1,1,1,3,1,1,1,0,1,1,4,3,3,2,3,7
0,19,0,1,1,1,3,1,1,1,1,0,4,4,4,3,5,4
0,17,0,1,4,3,2,2,0,1,1,1,4,5,5,1,2,4
1,18,0,1,3,3,1,2,0,1,0,1,5,3,4,1,5,0
1,17,0,1,4,4,2,2,0,1,1,0,4,3,3,1,5,4
1,17,1,0,3,2,2,2,0,0,0,1,1,2,3,1,5,2
0,18,1,1,1,1,2,1,0,0,1,1,3,3,2,1,3,4
1,18,1,1,1,1,2,3,0,0,1,0,5,3,2,1,4,0
1,18,1,0,1,4,3,2,0,0,0,1,4,3,4,1,5,0
0,18,1,1,1,1,2,2,1,0,0,0,4,4,3,2,5,2
1,18,0,1,3,3,2,2,0,1,1,1,4,3,2,1,3,0
1,17,1,1,4,4,1,2,0,1,1,1,2,3,4,1,1,0
1,17,0,1,1,2,2,2,0,0,0,0,3,2,2,1,3,0
0,18,0,1,1,3,2,2,0,1,0,0,3,3,4,2,3,4
0,18,1,1,4,4,2,3,0,0,1,1,4,2,2,2,5,0
1,17,0,1,1,1,3,1,1,1,1,1,5,2,1,1,1,0
1,18,0,1,2,3,2,1,0,1,1,1,5,2,3,1,4,0
1,18,0,1,4,4,3,2,0,1,1,1,3,2,2,4,5,10
1,19,1,1,3,2,2,2,2,0,0,1,3,2,2,1,3,4
0,18,1,1,1,2,3,1,0,1,1,1,4,3,3,2,3,3
1,17,0,1,2,2,1,3,0,0,0,1,3,4,3,1,3,8
1,17,0,1,1,2,1,1,0,0,1,0,3,5,5,1,1,14
1,18,1,1,4,4,2,3,0,0,1,0,5,4,4,1,1,0
1,18,0,1,1,1,4,3,0,0,1,0,4,3,2,1,4,2
1,20,0,1,4,2,2,3,2,1,1,1,5,4,3,1,3,4
1,18,1,1,4,4,1,2,0,0,1,0,5,4,3,3,2,4
1,18,0,1,3,3,1,2,0,0,1,1,4,1,3,1,1,0
1,17,0,1,3,1,1,2,0,1,1,0,4,5,4,2,1,17
0,18,0,1,4,4,1,2,0,0,1,0,3,2,4,1,2,4
0,18,0,1,2,1,2,1,0,0,1,1,4,4,3,1,5,5
0,17,0,1,2,3,2,2,0,0,1,0,4,4,3,1,3,2
0,19,0,1,1,1,2,1,1,0,0,0,4,3,2,1,5,0
0,18,0,1,4,2,2,1,1,0,0,0,5,4,3,4,3,14
1,18,0,1,2,2,2,3,0,0,0,0,5,3,3,1,4,2
1,18,0,1,4,4,3,1,0,1,1,1,4,4,3,2,5,7
1,19,0,1,2,3,1,3,1,0,1,0,5,4,2,1,5,0
1,18,1,1,3,1,1,2,0,1,1,0,4,3,4,1,1,0
1,18,0,1,1,1,2,2,1,0,0,0,1,1,1,1,5,0
0,20,1,0,2,2,1,2,2,1,0,0,5,5,4,4,4,11
0,17,1,1,3,1,2,1,0,0,1,0,2,4,5,3,2,3
0,21,0,1,1,1,1,1,3,0,0,0,5,5,3,3,3,3
0,18,1,1,3,2,3,1,0,0,1,0,4,4,1,3,5,0
0,19,1,1,1,1,1,1,0,0,1,0,3,2,3,3,5,5
